Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
aph3p_IIIa,blaCDD_2,0.141646297,0.008352867,0.120896626,0.162395968,1.419032705,0.114942784,1.133499,1.70456641
aac6p_Ie_aph2pp_Ia,blaCDD_1,0.045762559,0.007570592,0.026956165,0.064568953,1.409816972,0.031279742,1.332113785,1.487520159
aac6p_Ie_aph2pp_Ia,aadE,0.188035866,0.087091382,-0.02831112,0.404382852,1.406679877,0.463835949,0.254447506,2.558912249
aac6p_Ie_aph2pp_Ia,gyrB_D426V,0.029559218,0.014863138,-0.007362863,0.066481299,1.402607593,0.200555537,0.904400021,1.900815165
rpoB_R505K,aph2pp_If,0.02651399,0.006269799,0.010938945,0.042089034,1.398608864,0.159391233,1.00265909,1.794558638
blaCDD_1,aac6p_Ie_aph2pp_Ia,0.07629638,0.025792821,0.012223462,0.140369299,1.39649422,0.027726453,1.327617893,1.465370548
blaCDD_2,sat4,0.035471055,0.007025741,0.018018146,0.052923964,1.395439374,0.09875589,1.150116144,1.640762604
aac6p_Ie_aph2pp_Ia,aad9,0.059336294,0.013384344,0.026087741,0.092584846,1.386713133,0.597342321,-0.097167452,2.870593719
gyrB_D426V,aac6p_Ie_aph2pp_Ia,0.074430771,0.02108747,0.02204659,0.126814951,1.384006034,0.194860924,0.899944664,1.868067404
blaCDD_2,vanR_Cd,0.872479966,0.020957037,0.820419799,0.924540133,1.383981065,0.056581744,1.243424222,1.524537908
blaCDD_2,vanG,0.86662277,0.020074896,0.816753963,0.916491576,1.378372372,0.060403495,1.228321772,1.528422973
blaCDD_2,vanT_Cd,0.86662277,0.020074896,0.816753963,0.916491576,1.378372372,0.060403495,1.228321772,1.528422973
gyrB_I139R,vanS_Cd,0.851968829,0.025914561,0.787593492,0.916344166,1.377096854,0.083612854,1.16939101,1.584802698
dfrF,gyrB_D426V,0.028704694,0.013243845,-0.004194841,0.061604228,1.375150735,0.199145785,0.88044518,1.86985629
aad9,aac6p_Ie_aph2pp_Ia,0.072320569,0.032650469,-0.008787692,0.15342883,1.374429076,0.57074653,-0.043383904,2.792242056
aph2pp_If,rpoB_R505K,0.096646995,0.006742865,0.07989679,0.113397199,1.368593106,0.141798619,1.016345808,1.720840404
gyrB_D426V,dfrF,0.049292379,0.015285878,0.011320153,0.087264605,1.365489301,0.192149495,0.888163494,1.842815108
