Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
arsD2,arsB,0.626645204,0.076078971,0.611549486,0.641740923,341.1702271,250.9932203,291.3677269,390.9727274
spw,ant6_Ia,0.538896062,0.070676969,0.524872218,0.552919906,320.1221177,143.5211118,291.6444154,348.59982
tetO_W_32_O,optrA,0.163791491,0.073225764,0.14926191,0.178321071,290.2695743,258.8182529,238.9144178,341.6247308
arsD,arsB,0.747384223,0.074226768,0.732656022,0.762112424,254.7559934,206.5277101,213.7764151,295.7355718
gyrA_E87G,parC_S80I,0.109196077,0.027714113,0.103696996,0.114695158,197.9582695,157.0966298,166.7868899,229.1296491
ant6_Ia,ermB,0.702913426,0.053894574,0.692219573,0.713607279,191.452427,248.6369379,142.1174643,240.7873897
aph3p_IIIa,sat4,0.995048905,0.002466856,0.994559427,0.995538382,188.76775,214.7572913,146.1552443,231.3802558
lsaE,ant6_Ia,0.522597692,0.06522583,0.509655472,0.535539912,167.5654019,56.90471583,156.2742718,178.8565321
aph3p_IIIa,str,0.838391746,0.036172965,0.831214245,0.845569247,164.5254993,175.207769,129.7604768,199.2905218
gyrA_S83Y,parC_S80I,0.085259218,0.024597146,0.080378611,0.090139825,159.4611744,112.5660274,137.1256324,181.7967164
arsD,arsD2,0.980839363,0.010343012,0.978787085,0.982891641,156.9375521,87.79149262,139.5178153,174.3572888
arsR,arsD2,0.98441303,0.008497765,0.982726889,0.986099171,155.7056675,94.68317824,136.9184708,174.4928643
gyrA_S83I,parC_S80I,0.578289081,0.044151723,0.569528421,0.587049741,152.570907,247.5634181,103.4489539,201.69286
tetO_W_32_O,tetL,0.134583818,0.059272499,0.122822868,0.146344768,137.8503185,84.71348312,121.0413256,154.6593115
cadA,cadC,0.986519399,0.006537997,0.985222119,0.98781668,108.6356798,49.17860094,98.87757841,118.3937811
aph3p_IIIa,ermB,0.58597705,0.053171637,0.575426644,0.596527457,105.2375848,72.56651726,90.83881343,119.6363562
arsA,arsR,0.93256048,0.05169399,0.922303271,0.942817689,101.4677802,40.35995848,93.45948879,109.4760715
lnuB,ermB,0.368156808,0.053923545,0.357457207,0.37885641,100.6987266,58.94121532,89.00351077,112.3939425
sat4,ermB,0.541265677,0.05683093,0.529989188,0.552542167,94.45890729,55.1475515,83.51643664,105.4013779
lnuB,aph3p_IIIa,0.549748568,0.077917094,0.534288126,0.56520901,94.39984582,90.24252031,76.49377196,112.3059197
arsB,arsR,0.896492095,0.069333822,0.88273476,0.910249429,93.25826653,40.12318057,85.29695702,101.219576
spw,ermB,0.381550576,0.055884671,0.370461845,0.392639307,92.70233345,47.92665899,83.19264453,102.2120224
arsA,arsD,0.921278117,0.053356899,0.910690951,0.931865284,90.2070479,31.66949552,83.92313292,96.49096289
arsB,arsD,0.886179327,0.065485434,0.873185596,0.899173058,85.91823387,34.0562682,79.1607314,92.67573633
spw,aph3p_IIIa,0.554825771,0.080485319,0.538855738,0.570795805,70.80432057,44.30038017,62.01416404,79.5944771
lnuB,sat4,0.565034352,0.079102352,0.549338729,0.580729974,68.53274318,45.18612983,59.5668347,77.49865165
str,ermB,0.630405845,0.055586768,0.619376225,0.641435466,67.63865694,30.52146512,61.58253609,73.69477779
lsaE,ermB,0.372905084,0.05534906,0.361922629,0.383887538,66.45117985,23.92346293,61.70424578,71.19811392
lnuB,str,0.489026457,0.064699432,0.476188686,0.501864228,63.83630067,38.9407917,56.10960277,71.56299858
arsA,arsD2,0.952006543,0.02101208,0.947837291,0.956175796,63.31378475,24.74474684,58.40389014,68.22367936
lsaE,aph3p_IIIa,0.547326251,0.07502873,0.532438923,0.562213579,62.00056654,28.27543401,56.39010699,67.61102608
arsB,arsD2,0.915830512,0.047772737,0.906351365,0.92530966,59.06292545,18.62660828,55.36700226,62.75884864
optrA,ant9_Ia,0.901310869,0.06448974,0.888514706,0.914107033,58.86434184,21.60698313,54.57704762,63.15163606
catA,ermB,0.332955398,0.044670303,0.324091841,0.341818956,56.24772008,51.51421736,46.02618175,66.46925841
fexA,optrA,0.627565842,0.066145935,0.614441053,0.640690631,55.10140272,31.33451653,48.88395483,61.3188506
str,sat4,0.991913502,0.007584265,0.990408619,0.993418385,54.81173787,13.54318537,52.12447607,57.49899966
spw,sat4,0.57431414,0.081366898,0.558169182,0.590459098,54.58057424,25.06242109,49.60764616,59.55350232
ant6_Ia,aph3p_IIIa,0.979674091,0.016528089,0.97639456,0.982953623,54.2350947,21.52490195,49.96408716,58.50610223
str,aph3p_IIIa,0.928265368,0.031331253,0.922048568,0.934482168,53.73905576,14.00174528,50.96080572,56.51730579
spw,str,0.491709159,0.067193725,0.478376466,0.505041852,53.0645746,27.78040015,47.55234051,58.57680869
lsaE,sat4,0.565937064,0.080363643,0.549991174,0.581882954,52.4841527,27.41228107,47.04496142,57.92334398
str,ant6_Ia,0.802004864,0.04739495,0.792600678,0.81140905,51.32978471,14.60481318,48.43187292,54.2276965
lsaE,str,0.489723234,0.063422055,0.477138923,0.502307546,48.84177476,20.15961914,44.84166896,52.84188056
merA,tcrB,0.385871587,0.151199046,0.355870416,0.415872758,44.81743643,35.41499373,37.79033334,51.84453952
merA,arsB,0.237399375,0.071935449,0.223125821,0.251672929,43.41518051,33.36218564,36.79539908,50.03496193
tcrB,merA,0.400267349,0.13490715,0.373498844,0.427035855,42.89068445,30.06542596,36.92505166,48.85631723
fexB,tetL,0.136462228,0.060021647,0.124552631,0.148371825,42.47280004,39.3551732,34.66387986,50.28172022
merA,cadA,0.225329688,0.069882709,0.211463442,0.239195933,41.06869506,29.32327288,35.25032155,46.88706858
ant6_Ia,str,0.85442108,0.035959332,0.847285969,0.861556192,38.45760572,11.92362907,36.09169903,40.82351241
ant6_Ia,sat4,0.974228717,0.017262504,0.970803461,0.977653972,38.16790792,12.52391103,35.68289227,40.65292358
optrA,fexA,0.706793707,0.099444145,0.687061831,0.726525582,37.31487115,9.194344909,35.49051365,39.13922866
merA,arsA,0.219639339,0.07315285,0.205124227,0.234154451,37.158462,26.49894759,31.9004959,42.4164281
ant9_Ia,fexA,0.520700428,0.100164057,0.500825706,0.54057515,36.63584414,11.21087574,34.41136317,38.86032511
tcrB,cadC,0.257061869,0.094567258,0.238297673,0.275826065,36.16553866,24.90500632,31.22384508,41.10723223
arsB,cadA,0.576021263,0.095664846,0.557039282,0.595003244,36.15582124,15.27380941,33.12516608,39.18647639
cadA,arsB,0.611698128,0.098420113,0.592169442,0.631226813,33.53806205,13.85801598,30.78833102,36.28779307
arsA,cadA,0.568239274,0.09924346,0.548547219,0.58793133,31.87761962,11.49173788,29.59740951,34.15782973
vanD,vanX_B,0.174326611,0.074311506,0.159581596,0.189071626,31.42881717,51.12085291,21.28533088,41.57230346
cadA,arsA,0.58147674,0.094188941,0.56278761,0.600165869,31.17244272,12.46355161,28.69940368,33.64548176
fexA,ant9_Ia,0.621239464,0.073407032,0.606673916,0.635805011,30.00357046,9.764998169,28.06598297,31.94115795
vanH_D,vanX_B,0.177266077,0.073860737,0.162610504,0.19192165,28.47676294,20.68152428,24.37309984,32.58042605
tcrB,cadA,0.202887481,0.078594637,0.187292599,0.218482362,28.286103,20.2151825,24.27497222,32.29723378
catA,str,0.408879263,0.049888136,0.398980375,0.418778152,27.59109401,7.708575706,26.06154535,29.12064267
vanR_D,vanX_B,0.171239942,0.072928724,0.156769301,0.185710583,26.87471365,23.04636857,22.30181413,31.44761317
tcrB,tetS,0.2604664,0.11982066,0.236691381,0.284241418,25.96412853,14.24773048,23.13706969,28.79118736
vanX_D,vanX_B,0.174197822,0.087575826,0.156820878,0.191574766,25.78438232,16.73539523,22.46371683,29.10504781
optrA,fexB,0.962977098,0.022210453,0.958570063,0.967384134,25.65021278,6.089174475,24.44198846,26.8584371
fexB,ant9_Ia,0.137130005,0.079098316,0.121435183,0.152824827,25.11836101,21.24950504,20.9019982,29.33472382
vanH_D,vanW_B,0.149585059,0.069402807,0.135814036,0.163356082,24.43331396,31.86416267,18.11077279,30.75585513
vanX_B,vanH_D,0.245769394,0.092015754,0.227511472,0.264027315,24.24272265,12.60272853,21.74206789,26.74337741
arsD2,cadC,0.374070095,0.094129975,0.355392666,0.392747525,23.78547232,9.624241678,21.87581397,25.69513067
vanX_B,vanD,0.239289409,0.094886934,0.220461782,0.258117035,23.78496952,14.82445041,20.84347694,26.7264621
cadC,arsR,0.444217534,0.108588614,0.422671197,0.46576387,23.58491846,9.617498275,21.67659814,25.49323877
vanX_B,vanR_D,0.24013359,0.097638579,0.220759978,0.259507203,23.35473964,12.09938381,20.9539594,25.75551989
vanX_B,vanX_D,0.230350039,0.053269216,0.21978027,0.240919807,23.31792827,12.39916814,20.85766431,25.77819223
arsR,cadC,0.45551125,0.108313182,0.434019565,0.477002935,23.29163081,9.095059171,21.48697375,25.09628787
tetO_W_32_O,merA,0.11555795,0.085804006,0.098532573,0.132583326,22.8041358,22.03574796,18.43176534,27.17650627
arsD,cadC,0.444750862,0.102719953,0.424368995,0.465132729,22.7466615,8.948237819,20.97113699,24.52218602
cadC,arsD,0.43687469,0.112015662,0.414648352,0.459101027,22.72029026,9.976012319,20.74083298,24.69974753
vanX_D,vanH_B,0.127604699,0.078235114,0.112081155,0.143128243,22.62885516,62.29955481,10.26727189,34.99043843
optrA,tetO_W_32_O,0.914924454,0.0416252,0.906665111,0.923183796,22.60080578,5.653694527,21.47899013,23.72262143
sat4,lnuB,0.832713554,0.067607538,0.819298751,0.846128356,22.29929603,5.834547679,21.14159519,23.45699687
vanS_D,vanX_B,0.144996142,0.062130109,0.13266818,0.157324103,22.14328371,13.95408393,19.37449072,24.91207669
sat4,spw,0.812010736,0.068119428,0.798494364,0.825527108,21.94622601,5.552130361,20.84456289,23.04788913
vanD,vanW_B,0.144681955,0.063930805,0.131996696,0.157367213,21.81005034,18.66181167,18.10714204,25.51295865
cadC,arsB,0.391461887,0.090291134,0.373546167,0.409377607,21.77833075,9.692984588,19.85503231,23.70162918
vanX_D,vanS_B,0.137524089,0.079725181,0.121704883,0.153343295,21.76056403,43.82678586,13.06437888,30.45674917
tetS,tcrB,0.394624982,0.127883181,0.369250185,0.41999978,21.47883473,12.83070343,18.9329448,24.02472465
vanH_D,vanS_B,0.135303869,0.06677126,0.122055003,0.148552736,21.34400912,33.39044579,14.71862026,27.96939798
sat4,lsaE,0.804279092,0.066494587,0.791085123,0.817473061,20.99833159,4.755238144,20.05478917,21.941874
cadC,arsD2,0.450210764,0.103113203,0.429750867,0.47067066,20.96883712,8.051268564,19.37129077,22.56638348
aph3p_IIIa,lnuB,0.86844003,0.065876885,0.855368627,0.881511433,20.57072176,4.816302576,19.61506284,21.52638068
vanD,vanR_B,0.141907135,0.078488472,0.126333319,0.15748095,20.53171837,19.17573559,16.72683641,24.33660033
aph3p_IIIa,spw,0.852376464,0.059791443,0.840512544,0.864240383,20.34494235,4.6185858,19.42851473,21.26136998
ermB,ant6_Ia,0.952546126,0.026803231,0.947227783,0.957864468,20.33280151,4.962172067,19.34819892,21.3174041
cadC,tcrB,0.51892848,0.155594806,0.488055095,0.549801865,20.29375346,8.347766609,18.63737546,21.95013146
vanW_B,vanX_D,0.181926352,0.065927372,0.168844932,0.195007773,20.28405118,16.76613331,16.95728658,23.61081577
vanW_B,vanH_D,0.189797602,0.086843312,0.172566005,0.207029199,20.25322178,14.32311394,17.41120523,23.09523833
cadC,arsA,0.367273294,0.085239278,0.350359972,0.384186616,20.10641624,9.058909632,18.30893204,21.90390045
vanW_B,vanD,0.189170544,0.078936217,0.173507886,0.204833202,20.04620052,12.70670746,17.52491408,22.56748695
vanX_B,vanS_D,0.208025291,0.082946172,0.191566971,0.224483611,19.71852596,11.84474752,17.36827108,22.06878085
vanR_D,vanW_B,0.139467379,0.067706632,0.126032914,0.152901843,19.67809906,14.33097596,16.83452251,22.5216756
aph3p_IIIa,lsaE,0.839968939,0.06465716,0.827139555,0.852798322,19.56558797,4.232549468,18.72575833,20.40541761
vanR_D,vanS_B,0.13505917,0.0619503,0.122766887,0.147351454,19.54390725,17.46921032,16.07763692,23.01017757
arsD2,cadA,0.301549381,0.079460789,0.285782636,0.317316125,19.53953353,7.956609047,17.96076967,21.11829738
vanW_B,vanR_D,0.188614081,0.088739023,0.171006334,0.206221829,19.48985575,12.50924534,17.00775009,21.97196142
vanD,vanY_B,0.134581096,0.068338642,0.121021226,0.148140965,19.4340562,14.87485345,16.48256256,22.38554984
vanH_D,vanY_B,0.136822356,0.072783708,0.12238049,0.151264223,19.11682433,14.29322042,16.28073931,21.95290936
vanX_D,vanW_B,0.142524564,0.079982611,0.126654279,0.158394849,19.05072316,11.36717947,16.79522814,21.30621818
arsR,cadA,0.362680022,0.088142312,0.345190675,0.380169369,18.84446691,7.777664882,17.30120946,20.38772436
ant6_Ia,spw,0.97147209,0.01294566,0.968903391,0.97404079,18.84165651,3.5216157,18.14289156,19.54042147
vanR_D,vanR_B,0.132324741,0.066042883,0.1192204,0.145429082,18.77773838,12.35110088,16.32701201,21.22846476
vanH_D,vanR_B,0.136740569,0.065712757,0.123701732,0.149779405,18.70190561,12.13827029,16.29340945,21.11040178
vanX_D,vanY_B,0.136240198,0.08150222,0.120068389,0.152412006,18.67257673,14.36078939,15.82308456,21.52206891
