Gene_1,Gene_2,Conditional_Probability_Mean,Conditional_Probability_SD,Conditional_Probability_CI_low,Conditional_Probability_CI_high,Relative_Risk_Mean,Relative_Risk_SD,Relative_Risk_CI_low,Relative_Risk_CI_high
qacE,catA2,0.074834377,0.044167586,0.066070569,0.083598184,1.013365684,0.589060788,0.896483244,1.130248124
qacE,blaTEM_1,0.07452885,0.010525188,0.072440424,0.076617275,1.001700113,0.124941028,0.976909103,1.026491124
qacE,fosA7_2,0.074449802,0.018868467,0.070705888,0.078193715,1.002667623,0.240987138,0.954850546,1.050484699
qacE,gyrA_D87G,0.074287073,0.018796446,0.070557451,0.078016696,1.001208356,0.233242477,0.954927988,1.047488724
qacE,arsR,0.07317199,0.008197924,0.071545344,0.074798636,0.984435606,0.097031454,0.965182461,1.003688752
qacE,pcoA,0.072652751,0.01008386,0.070651895,0.074653608,0.97742392,0.112887419,0.955024607,0.999823232
qacE,gyrB_S464F,0.072167223,0.047898222,0.062663177,0.08167127,0.959088925,0.619492755,0.836168122,1.082009728
qacE,pcoS,0.072055507,0.009762165,0.070118482,0.073992533,0.974848476,0.118796785,0.951276617,0.998420336
qacE,fosA7_3,0.071885797,0.03316383,0.065305373,0.07846622,0.969672729,0.433423403,0.883672123,1.055673336
qacE,blaCTX_M_55,0.071740456,0.022852399,0.067206045,0.076274868,0.972782273,0.306679289,0.911930449,1.033634097
qacE,blaCMY_2,0.071427492,0.025132266,0.066440705,0.076414279,0.966875111,0.323373131,0.902710866,1.031039356
qacE,pcoE,0.06969923,0.014848579,0.06675295,0.07264551,0.939317384,0.200384569,0.899556738,0.97907803
qacE,arsA,0.067281175,0.011168862,0.065065031,0.06949732,0.901545515,0.128502085,0.876047914,0.927043117
qacE,arsB,0.0664689,0.009771176,0.064530086,0.068407713,0.887315918,0.131558567,0.861211844,0.913419992
qacE,gyrA_D87Y,0.065996398,0.012989721,0.063418956,0.06857384,0.882835147,0.157491424,0.851585432,0.914084863
qacE,arsD,0.065898849,0.009824456,0.063949464,0.067848234,0.889157718,0.132358629,0.862894895,0.915420542
qacE,mdsB,0.06421039,0.006199631,0.062980249,0.065440531,0.453391667,0.062654961,0.440959563,0.46582377
qacE,mdsA,0.063657927,0.00593774,0.06247975,0.064836103,0.447154064,0.06360651,0.434533153,0.459774975
qacE,golT,0.063411189,0.00578355,0.062263608,0.064558771,0.445448739,0.068250673,0.431906325,0.458991154
qacE,golS,0.063309846,0.005334523,0.062251361,0.064368331,0.430549835,0.073010273,0.416063013,0.445036657
qacE,pcoD,0.063296417,0.009679548,0.061375785,0.06521705,0.839290947,0.123882121,0.814710047,0.863871847
qacE,fosA7,0.063270949,0.010756707,0.061136585,0.065405313,0.843038351,0.121775353,0.818875479,0.867201223
qacE,pcoR,0.062529292,0.00863825,0.060815276,0.064243309,0.827147267,0.113028608,0.804719939,0.849574595
qacE,pcoB,0.061425854,0.012703684,0.058905168,0.06394654,0.825037565,0.159666848,0.793356198,0.856718931
qacE,pcoC,0.061227513,0.008455233,0.059549812,0.062905215,0.810896362,0.108745559,0.789318884,0.83247384
qacEdelta1,blaCARB_2,0.994529353,0.005992647,0.993340282,0.995718424,18.22747159,2.041721984,17.82234965,18.63259352
qacEdelta1,tetG,0.987996296,0.007534709,0.986501247,0.989491346,17.95359553,1.944731246,17.56771866,18.3394724
qacEdelta1,merE,0.883731788,0.050749037,0.873662078,0.893801498,15.49661615,1.817424682,15.13599966,15.85723264
qacEdelta1,merD,0.881061967,0.046653711,0.871804859,0.890319075,15.49877212,2.028545164,15.09626475,15.90127949
qacEdelta1,aadA7,0.875196804,0.052793463,0.864721435,0.885672172,14.30305642,1.636567917,13.97832584,14.627787
qacEdelta1,aac3_Id,0.873595913,0.056297336,0.8624253,0.884766525,14.13080356,1.728729022,13.78778622,14.4738209
qacEdelta1,catA1,0.856805605,0.058426421,0.845212536,0.868398674,16.32314361,2.127258285,15.90104942,16.74523781
qacEdelta1,merA,0.856418826,0.053153728,0.845871973,0.866965679,14.67854422,1.619619618,14.35717655,14.99991189
qacEdelta1,dfrA7,0.85525048,0.057650457,0.843811379,0.866689582,14.84417214,1.816668057,14.48370579,15.2046385
qacEdelta1,ant2pp_Ia,0.753867023,0.187698446,0.716623579,0.791110467,11.12387716,2.888914249,10.5506539,11.69710042
